name,ra,dec,JAB,label,source,note
J211945.461-133528.411,319.939423,-13.591225,20.78,unknown,JY & FW,
J212939.088+060113.500,322.412867,6.0204167,20.84,unknown,JY & FW,
J221232.806+204009.101,333.1366917,20.6691947,20.50,inconclusive,JY & FW,no LRIS flux; but might be an extend source
J224349.160+134009.832,340.954834,13.6693979,20.93,problematic,JY & FW,no trace
J224443.133+290702.701,341.17972,29.117417,20.54,unknown,JY & FW,
J224742.298+324701.386,341.92624,32.7837182,20.62,unknown,JY & FW,
J231202.792+321525.516,348.011634,32.2570878,20.92,unknown,JY & FW,
J232858.285+275511.689,352.242855,27.9199136,21.02,unknown,JY & FW,
J234620.296+254524.373,356.584569,25.7567704,20.67,unknown,JY & FW,
J235202.615+265510.350,358.010896,26.9195418,19.92,FeLoBAL?,JY & FW,
J235502.110+204859.783,358.758791,20.8166065,20.76,unknown,JY & FW,
J000723.969-065713.925,1.84987179,-6.953868,21.36,problematic,JY & FW,no trace
J002034.008+195650.438,5.1417012,19.9473438,20.85,unknown,JY & FW,
J003803.782-065322.874,9.51575918,-6.8896873,20.82,qso,known quasar,z~7.1
J005830.281-290357.120,14.6261709,-29.0658666,21.90,problematic,RN,no trace
J010212.544-332740.864,15.5522684,-33.4613511,21.30,unknown,RN,
J015943.642-201757.314,29.9318401,-20.299254,21.46,unknown,JY & FW,
J020054.659+252041.010,30.22774666,25.3447249,20.39,problematic,EB,no trace
J020829.894+322244.888,32.1245585,32.3791355,20.56,problematic,JY & FW,no trace
J022034.320+345824.044,35.1429983,34.9733456,20.46,unknown,LOFAR,
J025148.342+172435.065,42.9514244,17.4097404,20.76,inconclusive,JY & FW,might need LRIS reobs
J033941.041-161020.956,54.9210044,-16.172488,21.32,unknown,JY & FW,
J070551.954+285916.256,106.4664753,28.98784876,20.38,unknown,EB,
J075329.877+375021.981,118.3744866,37.83943925,20.17,problematic,EB,bright central source
J075856.153+004053.175,119.733972,0.6814376,20.83,unknown,JY & FW,
J075948.050+073502.730,119.950207,7.5840917,20.94,unknown,JY & FW,
J080841.750+385551.142,122.1739569,38.93087274,20.43,problematic,EB,no trace
J081202.049+320126.367,123.0085377,32.02399079,20.22,unknown,EB,
J081359.882+221907.297,123.499509,22.3186936,21.04,unknown,JY & FW,
J082244.266+504547.147,125.6844419,50.76309631,19.75,unknown,EB,might need LRIS reobs; unlikely since it should look brighter (JAB=19.75)
J082602.075+121740.747,126.508646,12.294652,20.43,unknown,JY & FW,
